amambai;vara do trabalho;305764
amambai;1a vara estadual;253427
amambai;2a vara estadual;253428
bela vista;vara estadual;280409
caarapo;vara estadual;245810
deodapolis;vara estadual;245815
dourados;1a vara do trabalho;305753
dourados;2a vara do trabalho;305755
eldourado;vara estadual;245808
fatima do sul;vara do trabalho;305769
fatima do sul;1a vara estadual;245793
fatima do sul;2a vara estadual;245794
iguatemi;vara estadual;245809
itapora;vara estadual;245812
itaquirai;vara estadual;246911
ivinhema;1a vara estadual;245795
ivinhema;2a vara estadual;245796
jardim;vara do trabalho;305759
jardim;1a vara estadual;245813
jardim;2a vara estadual;245814
maracaju;1a vara estadual;245798
maracaju;2a vara estadual;245799
mundo novo;vara do trabalho;305766
mundo novo;vara estadual;245807
navirai;vara do trabalho;305762
navirai;1a vara estadual;245802
navirai;2a vara estadual;245803
nova alvorada do sul;vara estadual;245800
nova andradina;vara do trabalho;305756
nova andradina;1a vara estadual;245816
nova andradina;2a vara estadual;245817
ponta pora;1a vara federal;331870
ponta pora;1a vara federal;10377913
ponta pora;2a vara federal;10377914
ponta pora;vara do trabalho;305761
rio brilhante;vara estadual;245801
